autoencoder_score,lstm_score,isolation_forest_score,behavioral_score,ensemble_score,agreement_count,is_anomaly,risk_level
0.0010468693,0.0,0.8158901250728863,0.36688016972998705,0.21857645471921722,1,0,LOW
0.0010380249,0.0,0.7283660558156766,0.22908787951870713,0.18039970179446826,1,0,LOW
0.001046793,0.0,0.7579528262953694,0.3283822897765266,0.2012142862533784,1,0,LOW
0.0010379065,0.0,0.7199250708769216,0.2358931005732379,0.17973224652104228,1,0,LOW
0.0010370731,0.0,0.8372466163540908,0.28538905137658743,0.21062065655838974,1,0,LOW
0.00027579052,0.0,0.5478634589886193,0.37589327947101236,0.1660532103992392,1,0,LOW
0.0010290261,0.0,0.8820796987015244,0.4115530432488959,0.23850905537284178,1,0,LOW
0.0010172711,0.0,0.7871458553529703,0.348203984186046,0.21001581358071092,1,0,LOW
0.0015317518,0.0,0.7006781751784089,0.23371046513384058,0.17572831791007523,1,0,LOW
2.946906e-05,0.0,0.5054282138639778,0.2288394786533448,0.135421878741847,1,0,LOW
0.0010206517,0.0,0.7302215969860493,0.28859294027355376,0.18969048850757628,1,0,LOW
0.0010246844,0.0,0.7284490408811226,0.3060032274825907,0.19194893184551598,1,0,LOW
0.0070649935,0.0,0.38028322737014997,0.2435430896747204,0.1150608565081803,0,0,LOW
0.0010152061,0.0,0.7134289695190686,0.35452518173041864,0.19621989328106093,1,0,LOW
0.0010188759,0.0,0.8100336197471795,0.3223821460093136,0.21072065240786692,1,0,LOW
0.018067455,0.0,0.6019621590924782,0.2559686652801108,0.16511134064597438,1,0,LOW
0.0010200146,0.0,0.8052307521062643,0.2710316002492308,0.2020578955635257,1,0,LOW
0.0010408435,0.0,0.7295680170844601,0.21323185697429495,0.1782626771991041,1,0,LOW
0.12891136,0.0,0.7624594251050628,0.41985869597644154,0.26058966580188014,1,0,LOW
0.0010366314,0.0,0.7011760378274814,0.2197523900200776,0.173560887050044,1,0,LOW
0.0010398825,0.009686761535704136,0.7201603550287987,0.26619228994242244,0.1872309018409336,1,0,LOW
0.0010587368,0.014771690592169762,0.7229282193497806,0.26353427031929466,0.18891784948111826,1,0,LOW
